topology,delay,policy,n_games,mean_spectral_edge,mean_loop_residual,mean_receipt_age,mean_disagreement
ring,0,blind_delay,15,0.0,0.23529411764705888,0.0,0.3855401351302373
ring,0,queue_aware,15,0.0,0.23529411764705888,0.0,0.3855401351302373
ring,1,blind_delay,15,0.0,0.23529411764705888,0.0,0.38115325950794865
ring,1,queue_aware,15,0.0,0.23529411764705888,0.0,0.38115325950794865
ring,2,blind_delay,15,1.4503016459925282,0.05015025961162797,0.991666666666667,0.28354653319707257
ring,2,queue_aware,15,0.0,0.23529411764705888,0.0,0.3749024300750719
ring,3,blind_delay,15,1.4503016459925282,0.05015025961162797,1.9750000000000005,0.27635142838879373
ring,3,queue_aware,15,0.0,0.23529411764705888,0.0,0.3791709937241106
ring,5,blind_delay,15,1.4503016459925282,0.05015025961162797,3.9166666666666656,0.28248604873249605
ring,5,queue_aware,15,0.0,0.23529411764705888,0.0,0.38041798812827726
random_4_regular,0,blind_delay,15,0.0,0.23529411764705888,0.0,0.0926931940313182
random_4_regular,0,queue_aware,15,0.0,0.23529411764705888,0.0,0.0926931940313182
random_4_regular,1,blind_delay,15,0.0,0.23529411764705888,0.0,0.08281214143737212
random_4_regular,1,queue_aware,15,0.0,0.23529411764705888,0.0,0.08281214143737212
random_4_regular,2,blind_delay,15,1.7269506701636845,0.02673891783500415,0.991666666666667,0.08678157602352411
random_4_regular,2,queue_aware,15,0.0,0.23529411764705888,0.0,0.09340140055721931
random_4_regular,3,blind_delay,15,1.7138156366484962,0.02254785567130696,1.9750000000000005,0.07908332164369096
random_4_regular,3,queue_aware,15,0.0,0.23529411764705888,0.0,0.08679144596553484
random_4_regular,5,blind_delay,15,1.6735435319945327,0.028168040915788662,3.9166666666666656,0.07888958672326273
random_4_regular,5,queue_aware,15,0.0,0.23529411764705888,0.0,0.09207813989592357
two_block,0,blind_delay,15,0.0,0.23529411764705888,0.0,0.13840251377707738
two_block,0,queue_aware,15,0.0,0.23529411764705888,0.0,0.13840251377707738
two_block,1,blind_delay,15,0.0,0.23529411764705888,0.0,0.13861181799544048
two_block,1,queue_aware,15,0.0,0.23529411764705888,0.0,0.13861181799544048
two_block,2,blind_delay,15,1.9382171338603513,0.13008232474206036,0.991666666666667,0.12553175103716663
two_block,2,queue_aware,15,0.0,0.23529411764705888,0.0,0.13861036324833173
two_block,3,blind_delay,15,1.9382171338603513,0.13008232474206036,1.9750000000000005,0.1137158759811825
two_block,3,queue_aware,15,0.0,0.23529411764705888,0.0,0.1388276901721133
two_block,5,blind_delay,15,1.9382171338603513,0.13008232474206036,3.9166666666666656,0.09739454485576886
two_block,5,queue_aware,15,0.0,0.23529411764705888,0.0,0.13822596250400881
